goal_x|goal_y|goal_angle|robot_id||
100|100|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
85|118|23|338|72|1
85|118|23|338|72|1
89|114|17|295|116|1
92|117|18|275|149|1
86|114|19|293|112|1
86|115|20|309|97|1
87|117|21|331|81|1
87|118|22|294|120|1
95|118|18|239|-165|1
87|119|23|315|100|1
90|114|17|258|156|1
86|120|24|326|89|1
91|116|18|274|146|1
87|119|23|322|93|1
84|118|24|315|93|1
87|120|23|318|98|1
90|120|22|291|132|1
90|119|21|309|113|1
91|119|21|284|140|1
91|115|17|270|149|1
91|119|21|264|160|1
90|118|20|270|150|1
92|117|18|270|154|1
87|119|23|315|100|1
88|119|22|321|96|1
86|118|22|315|97|1
87|121|24|322|96|1
87|120|23|323|93|1
87|116|20|307|103|1
90|118|20|296|124|1
88|118|21|318|98|1
90|116|18|278|139|1
92|119|20|262|165|1
86|117|22|322|88|1
91|118|20|260|163|1
86|116|21|306|102|1
89|115|18|291|122|1
91|119|21|274|150|1
86|120|24|320|95|1
84|119|24|329|80|1
90|119|21|286|136|1
89|120|22|292|129|1
93|115|16|231|-167|1
91|119|21|276|148|1
87|121|24|308|110|1
92|119|20|255|172|1
91|121|22|306|120|1
87|115|19|301|108|1
89|120|22|300|121|1
92|117|18|259|165|1
86|119|23|325|88|1
90|119|21|278|144|1
86|119|23|315|98|1
92|117|18|260|164|1
89|114|17|279|132|1
91|117|19|249|173|1
86|119|23|311|102|1
88|119|22|306|111|1
91|120|21|270|155|1
86|113|19|293|109|1
85|120|25|320|93|1
89|120|22|286|135|1
88|115|19|284|127|1
88|120|23|321|98|1
86|122|26|298|119|1
89|116|19|290|125|1
85|115|21|304|101|1
87|120|23|311|105|1
88|116|20|298|115|1
87|116|20|305|105|1
87|116|20|305|105|1
89|112|16|288|119|1
86|119|23|318|95|1
86|118|22|322|90|1
89|119|21|310|109|1
89|119|21|306|113|1
89|118|21|284|134|1
87|120|23|318|98|1
90|119|21|276|146|1
87|119|23|311|104|1
90|120|22|276|147|1
90|120|22|276|147|1
90|120|22|284|139|1
87|120|23|329|87|1
86|119|23|315|98|1
89|114|17|287|124|1
90|116|18|241|176|1
90|118|20|276|144|1
91|117|19|273|149|1
85|118|23|326|84|1
92|118|19|270|156|1
88|120|23|302|117|1
91|120|21|302|123|1
87|118|22|281|133|1
92|115|17|262|159|1
91|119|21|257|167|1
88|119|22|308|109|1
88|119|22|308|109|1
86|115|20|299|107|1
91|122|23|265|162|1
89|119|21|289|130|1
88|121|24|315|105|1
87|118|22|303|111|1
93|118|19|261|167|1
91|115|17|282|137|1
91|117|19|258|164|1
88|119|22|302|115|1
87|119|23|299|116|1
92|120|21|259|169|1
91|118|20|287|136|1
89|119|21|290|129|1
90|119|21|263|159|1
86|115|20|298|108|1
88|119|22|296|121|1
86|116|21|301|107|1
86|115|20|303|103|1
87|120|23|322|94|1
86|119|23|329|84|1
91|120|21|299|126|1
88|119|22|306|111|1
86|119|23|315|98|1
91|118|20|282|141|1
91|118|20|282|141|1
90|113|16|273|139|1
88|118|21|318|98|1
91|119|21|270|154|1
91|117|19|270|152|1
90|119|21|300|122|1
91|119|21|255|169|1
90|118|20|274|146|1
87|116|20|307|103|1
88|119|22|306|111|1
89|116|19|294|121|1
91|119|21|291|133|1
89|119|21|251|168|1
91|120|21|266|159|1
90|117|19|265|154|1
91|120|21|284|141|1
88|118|21|323|93|1
89|119|21|290|129|1
93|117|18|261|166|1
91|118|20|280|143|1
86|118|22|304|108|1
87|119|23|321|94|1
88|119|22|296|121|1
90|116|18|291|126|1
87|119|23|312|103|1
87|119|23|315|100|1
90|117|19|280|139|1
90|119|21|284|138|1
91|116|18|262|158|1
89|120|22|305|116|1
88|122|25|323|98|1
87|120|23|306|110|1
91|118|20|279|144|1
91|118|20|288|135|1
86|116|21|336|72|1
88|120|23|291|128|1
89|121|23|290|132|1
86|112|18|303|97|1
92|120|21|261|167|1
87|118|22|320|94|1
90|117|19|291|128|1
87|117|21|296|116|1
87|118|22|318|96|1
91|118|20|279|144|1
93|121|22|243|-172|1
87|114|19|292|115|1
92|119|20|249|178|1
93|116|17|255|171|1
87|119|23|306|109|1
87|119|23|304|111|1
91|118|20|273|150|1
87|119|23|309|106|1
88|118|21|306|110|1
86|120|24|315|100|1
86|119|23|322|91|1
85|118|23|309|101|1
90|119|21|293|129|1
89|121|23|0|62|1
88|121|24|311|109|1
92|120|21|288|140|1
92|120|21|246|-178|1
91|119|21|264|160|1
86|120|24|323|92|1
91|120|21|281|144|1
90|119|21|276|146|1
91|120|21|263|162|1
90|120|22|289|134|1
87|116|20|307|103|1
90|119|21|278|144|1
89|118|21|291|127|1
87|120|23|299|117|1
91|114|16|289|128|1
87|116|20|298|112|1
86|118|22|304|108|1
88|120|23|300|119|1
88|120|23|300|119|1
86|115|20|306|100|1
86|117|22|311|99|1
87|118|22|312|102|1
87|120|23|307|109|1
87|123|26|296|124|1
87|119|23|321|94|1
91|120|21|270|155|1
87|119|23|320|95|1
91|121|22|264|162|1
87|118|22|291|123|1
89|121|23|282|140|1
86|122|26|304|113|1
86|120|24|315|100|1
92|116|17|261|162|1
88|119|22|306|111|1
89|117|20|291|126|1
88|117|20|282|132|1
88|120|23|333|86|1
87|123|26|309|111|1
86|119|23|308|105|1
89|119|21|284|135|1
91|118|20|278|145|1
86|118|22|322|90|1
91|120|21|264|161|1
91|115|17|270|149|1
90|118|20|299|121|1
86|121|25|315|101|1
89|123|25|279|145|1
93|117|18|270|157|1
90|116|18|275|142|1
86|119|23|315|98|1
90|123|25|284|142|1
90|120|22|296|127|1
92|115|17|261|160|1
88|119|22|300|117|1
90|117|19|279|140|1
93|120|21|270|160|1
90|120|22|300|123|1
