goal_x|goal_y|goal_angle|robot_id||
50|200|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
243|104|215|7|-161|1
243|104|215|7|-161|1
241|103|214|7|-161|1
244|102|217|8|-162|1
243|102|216|5|-159|1
242|103|215|355|-149|1
243|102|216|351|-145|1
242|100|216|7|-160|1
245|101|218|346|-140|1
243|101|216|351|-144|1
244|99|218|337|-130|1
246|100|220|315|-108|1
247|98|221|327|-120|1
247|98|221|304|-97|1
246|98|220|302|-95|1
246|98|220|302|-95|1
247|97|222|285|-78|1
247|96|222|280|-73|1
247|96|222|286|-79|1
247|95|223|282|-74|1
248|94|224|272|-64|1
248|96|223|276|-69|1
249|95|225|276|-69|1
248|95|224|266|-59|1
249|95|225|270|-63|1
251|99|224|241|-35|1
250|99|224|240|-34|1
250|99|224|228|-22|1
249|95|225|248|-41|1
249|96|224|251|-44|1
250|97|224|241|-34|1
248|97|223|243|-36|1
248|98|222|253|-46|1
248|98|222|253|-46|1
248|99|222|218|0|1
249|99|223|213|0|2
239|102|212|21|-174|2
239|102|212|21|-174|1
236|102|210|161|46|1
239|102|212|170|37|1
232|101|207|144|64|1
232|101|207|144|64|1
233|102|207|143|65|1
236|102|210|169|38|1
232|102|206|146|62|1
230|102|204|150|58|1
230|102|204|150|58|1
235|101|209|162|46|1
235|101|209|162|46|1
234|101|208|172|36|1
228|101|203|156|53|1
228|101|203|156|53|1
231|101|206|180|28|1
231|100|206|180|28|1
232|100|207|180|28|1
229|101|204|183|25|1
228|100|204|190|0|1
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
222|100|198|219|0|2
