goal_x|goal_y|goal_angle|robot_id||
150|50|180|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
52|137|131|0|41|1
51|136|131|0|40|1
52|136|130|356|45|1
52|136|130|3|38|1
53|136|129|3|38|1
53|136|129|3|38|1
53|136|129|10|31|1
55|137|128|14|28|1
56|136|127|18|24|1
62|137|123|39|0|1
62|136|123|45|0|2
63|135|121|45|0|2
68|132|115|53|0|2
73|129|110|48|0|2
80|125|102|48|0|2
88|116|90|36|0|2
95|113|83|29|0|2
107|103|68|30|0|2
117|98|58|30|25|2
117|98|58|30|25|1
130|91|45|30|33|1
139|87|38|27|46|1
145|83|33|32|49|1
150|81|31|39|51|1
155|79|29|63|36|1
155|78|28|63|37|1
156|76|26|66|36|1
158|75|26|71|36|1
158|73|24|75|34|1
159|71|22|81|32|1
160|70|22|84|32|1
160|67|19|92|28|1
160|65|18|92|31|1
160|63|16|98|29|1
160|60|14|111|24|1
159|59|12|114|21|1
159|57|11|116|26|1
159|55|10|128|22|1
157|53|7|132|24|1
155|50|5|140|40|2
154|49|4|143|51|3
155|48|5|145|56|3
154|48|4|147|59|3
152|47|3|152|84|3
150|45|5|161|109|3
148|44|6|165|123|3
148|44|6|165|123|4
Overall statistics|||||
Initial distance|Number of steps|Ellapsed time|Travelled distance||
131|45|5.341480731964111|7247||
