goal_x|goal_y|goal_angle|robot_id||
50|150|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
93|99|66|33|-164|1
93|99|66|33|-164|1
104|97|75|165|59|1
102|99|72|180|44|1
87|98|63|6|-132|1
102|97|74|175|50|1
86|99|62|0|-126|1
86|98|63|356|-121|1
103|93|77|208|0|1
104|95|77|149|76|1
102|97|74|145|80|1
88|98|64|356|-123|1
104|101|72|155|67|1
88|99|63|341|-108|1
86|98|63|0|-125|1
104|100|73|165|57|1
88|98|64|338|-105|1
87|100|62|335|-102|1
89|97|65|351|-118|1
105|100|74|171|51|1
104|100|73|145|77|1
104|101|72|171|51|1
102|103|70|149|73|1
104|102|72|171|50|1
105|105|71|194|25|1
105|103|72|162|58|1
106|100|75|165|56|1
90|98|65|11|-139|1
106|101|74|169|52|1
89|100|63|342|-110|1
108|100|76|169|51|1
107|101|75|171|49|1
92|99|66|348|-118|1
107|99|76|167|54|1
107|99|76|167|54|1
92|93|70|16|-143|1
93|98|67|347|-117|1
109|101|76|168|51|1
108|101|75|164|56|1
93|98|67|344|-114|1
107|102|74|153|67|1
110|102|76|164|54|1
93|98|67|338|-108|1
106|102|73|169|51|1
108|102|75|162|57|1
108|102|75|162|57|1
107|102|74|155|65|1
107|105|72|161|57|1
109|105|74|195|22|1
110|103|76|172|46|1
95|98|68|345|-116|1
94|99|67|338|-109|1
110|104|75|180|37|1
95|99|68|352|-124|1
108|102|75|155|64|1
110|103|76|172|46|1
112|103|77|158|59|1
96|101|67|327|-101|1
111|109|73|194|0|1
110|103|76|158|60|2
110|104|75|157|60|1
102|99|72|303|-79|1
115|103|80|189|26|1
120|106|82|161|51|1
120|104|83|153|60|1
119|105|82|167|46|1
104|102|72|350|-129|1
102|101|71|0|-137|1
104|102|72|351|-130|1
104|102|72|351|-130|1
106|102|73|342|-122|1
104|102|72|351|-130|1
110|107|73|303|-88|1
118|107|80|172|40|1
110|101|77|302|-83|1
111|100|78|299|-80|1
110|101|77|306|-87|1
109|101|76|302|-83|1
111|104|76|281|-64|1
110|101|77|303|-84|1
112|99|80|284|-65|1
110|100|78|302|-83|1
113|99|81|270|-52|1
112|100|79|284|-66|1
112|101|79|279|-61|1
111|99|79|280|-61|1
107|103|73|312|-93|1
110|100|78|282|-63|1
110|103|76|275|-57|1
110|103|76|275|-57|1
112|103|77|255|-38|1
111|102|77|280|-62|1
111|97|80|264|-44|1
112|98|80|259|-40|1
112|97|81|261|-41|1
112|97|81|258|-38|1
111|103|77|260|-43|1
111|98|80|261|-41|1
112|98|80|258|-39|1
112|94|83|265|-43|1
112|94|83|265|-43|1
113|98|81|252|-33|1
112|94|83|259|-37|1
112|98|80|253|-34|1
