goal_x|goal_y|goal_angle|robot_id||
50|150|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
146|50|138|2|-136|1
146|51|137|5|-140|1
146|50|138|2|-136|1
145|51|137|0|-134|1
146|50|138|357|-131|1
145|49|138|357|-131|1
146|50|138|354|-128|1
146|50|138|354|-128|1
145|49|138|351|-125|1
147|50|139|343|-118|1
146|50|138|348|-122|1
146|49|139|345|-119|1
146|49|139|337|-111|1
145|48|139|339|-112|1
145|49|138|329|-103|1
145|47|140|327|-100|1
145|48|139|329|-102|1
145|47|140|323|-96|1
146|47|140|312|-85|1
145|47|140|316|-89|1
146|46|141|313|-86|1
146|47|140|302|-75|1
145|46|140|306|-79|1
147|46|142|295|-69|1
146|46|141|296|-69|1
148|46|142|282|-56|1
146|46|141|292|-65|1
146|45|142|284|-57|1
148|45|143|273|-47|1
148|46|142|275|-49|1
149|45|144|270|-44|1
148|45|143|270|-44|1
148|45|143|267|-41|1
148|45|143|267|-41|1
148|46|142|261|-35|1
149|45|144|258|-32|1
148|45|143|255|-29|1
148|46|142|255|-29|1
148|46|142|250|-24|1
149|46|143|248|-22|1
149|45|144|249|-23|1
150|45|145|246|0|1
151|45|145|239|0|2
150|45|145|233|0|2
148|48|141|229|0|2
142|56|131|233|0|2
135|66|119|233|0|2
130|72|111|232|0|2
122|82|99|230|0|2
120|85|95|237|0|2
113|94|84|231|0|2
106|102|73|230|0|2
98|114|60|231|0|2
91|122|49|229|0|2
84|131|38|229|0|2
79|136|32|233|-28|2
78|138|30|225|-22|1
72|146|22|219|-29|1
70|150|20|219|-39|1
68|152|18|200|-27|1
67|151|17|197|-21|1
67|152|17|199|-26|1
67|152|17|193|0|1
68|152|18|186|0|2
67|152|17|189|0|2
66|152|16|189|0|2
64|152|14|191|0|2
60|153|10|183|0|2
57|154|8|183|-33|2
57|154|8|183|-33|1
50|155|5|170|-80|2
50|154|4|180|-90|3
50|155|5|173|-83|3
50|156|6|170|-80|3
50|155|5|174|-84|3
50|156|6|167|-77|3
49|156|6|165|-85|3
44|155|7|161|-122|3
50|155|5|159|-69|3
48|155|5|165|-97|3
50|155|5|164|-74|3
49|157|7|150|-69|3
47|154|5|162|-109|3
50|154|4|153|-63|3
48|156|6|149|-78|3
49|156|6|152|-72|3
47|158|8|129|-60|3
48|156|6|135|-64|3
49|155|5|135|-57|3
49|159|9|129|-46|3
49|156|6|135|-55|3
50|156|6|137|-47|3
50|156|6|135|-45|3
49|159|9|123|-40|3
46|157|8|104|-44|3
49|157|7|123|-42|3
49|158|8|116|-34|3
49|157|7|120|-39|3
48|156|6|117|-46|3
49|157|7|110|-29|3
48|159|9|108|-31|3
50|158|8|119|-29|3
49|158|8|110|-28|3
48|157|7|101|-27|3
48|158|8|102|-27|3
50|158|8|112|-22|3
50|158|8|113|-23|3
50|158|8|113|-23|3
49|158|8|106|-24|3
49|157|7|115|-34|3
50|159|9|114|-24|3
50|159|9|114|-24|3
47|158|8|99|-30|3
49|158|8|116|-34|3
49|159|9|109|-26|3
48|158|8|104|-29|3
49|158|8|108|-26|3
48|157|7|106|-32|3
48|159|9|106|-29|3
47|157|7|100|-34|3
48|158|8|107|-32|3
49|158|8|110|-28|3
48|162|12|104|-24|3
48|160|10|101|-23|3
49|159|9|106|-23|3
48|159|9|101|-24|3
48|158|8|104|-29|3
49|158|8|107|-25|3
47|159|9|95|-24|3
48|158|8|107|-32|3
50|158|8|112|-22|3
48|158|8|98|-23|3
49|158|8|104|-22|3
49|157|7|110|-29|3
48|157|7|107|-33|3
49|161|11|106|-22|3
48|157|7|111|-37|3
46|158|8|93|-30|3
49|157|7|109|-28|3
49|158|8|108|-26|3
50|159|9|111|-21|3
49|157|7|110|-29|3
49|159|9|106|-23|3
45|158|9|77|0|3
49|157|7|112|-31|3
50|158|8|107|0|3
47|158|8|93|-24|3
47|159|9|90|0|3
47|159|9|92|-21|3
48|158|8|98|-23|3
47|159|9|90|0|3
48|159|9|90|0|3
46|158|8|78|0|3
48|158|8|83|0|3
47|155|5|79|0|3
47|154|5|68|0|3
47|154|5|78|-25|3
48|155|5|70|0|3
52|155|5|109|0|3
47|156|6|59|0|3
47|157|7|64|0|3
49|157|7|85|0|3
48|158|8|77|0|3
49|155|5|71|0|3
48|156|6|63|0|3
50|156|6|69|21|3
48|156|6|56|0|3
47|157|7|48|0|3
47|157|7|38|28|3
49|157|7|50|31|3
49|156|6|33|47|3
44|157|9|14|35|3
44|157|9|14|35|4
