goal_x|goal_y|goal_angle|robot_id||
250|150|255|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
52|162|198|95|-92|1
52|162|198|95|-92|1
52|160|198|100|-98|1
50|163|200|90|-87|1
50|162|200|87|-84|1
50|160|200|97|-95|1
48|161|202|82|-79|1
48|164|202|87|-84|1
56|161|194|123|-120|1
49|157|201|75|-74|1
43|159|207|45|-43|1
49|159|201|70|-68|1
49|159|201|70|-68|1
51|160|199|87|-85|1
50|161|200|87|-84|1
50|159|200|90|-88|1
51|161|199|93|-90|1
48|159|202|69|-67|1
52|160|198|100|-98|1
52|156|198|102|-101|1
50|154|200|315|46|1
52|155|198|90|-89|1
51|155|199|59|-58|1
51|160|199|86|-84|1
47|161|203|59|-56|1
52|159|198|71|-69|1
51|161|199|90|-87|1
59|153|191|184|176|1
58|153|192|188|172|1
52|154|198|90|-89|1
46|155|204|8|0|1
58|152|192|194|166|2
59|157|191|171|-169|1
47|158|203|33|-31|1
63|152|187|180|180|1
64|152|186|180|180|1
52|153|198|355|5|1
65|152|185|196|164|1
53|153|197|14|0|1
53|156|197|18|0|2
66|149|184|213|146|2
66|149|184|213|146|1
55|153|195|14|0|1
67|152|183|23|-23|2
67|152|183|23|-23|1
75|150|175|78|-78|1
74|149|176|14|-15|1
74|147|176|14|-15|1
74|147|176|11|-12|1
74|146|176|3|-5|1
74|146|176|3|-5|1
88|146|162|171|-173|1
88|146|162|171|-173|1
80|145|170|323|35|1
80|145|170|323|35|1
74|147|176|338|21|1
88|146|162|167|-169|1
74|148|176|6|-7|1
80|145|170|308|50|1
80|146|170|309|49|1
75|146|175|344|0|1
74|145|176|339|0|2
74|145|176|339|0|2
74|145|176|339|0|2
74|145|176|339|0|2
77|146|173|336|22|2
77|146|173|336|22|1
78|146|172|337|21|1
90|150|160|345|15|1
90|152|160|340|20|1
92|151|158|356|4|1
93|152|157|349|11|1
93|152|157|349|11|1
92|149|158|11|-12|1
94|153|156|353|8|1
93|153|157|353|8|1
94|153|156|356|5|1
94|154|156|346|15|1
95|151|155|350|10|1
95|153|155|352|9|1
111|155|139|206|156|1
94|153|156|3|0|1
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
97|153|153|7|0|2
115|151|135|183|177|2
115|151|135|183|177|1
103|153|147|10|0|1
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
103|153|147|10|0|2
127|147|123|192|166|2
127|147|123|192|166|1
114|152|136|16|0|1
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
120|151|130|15|0|2
129|151|121|45|-45|2
129|151|121|45|-45|1
133|145|117|18|-21|1
137|143|113|14|-18|1
137|143|113|14|-18|1
137|143|113|5|-9|1
138|142|112|0|-5|1
135|142|115|0|-4|1
135|142|115|357|0|1
137|142|113|354|0|2
137|142|113|354|0|2
137|142|113|354|0|2
137|142|113|354|0|2
137|142|113|354|0|2
137|142|113|354|0|2
145|138|105|20|-27|2
150|142|100|357|0|1
166|143|84|351|0|2
168|143|82|345|0|2
168|143|82|345|0|2
168|143|82|345|0|2
168|143|82|345|0|2
168|143|82|345|0|2
168|143|82|345|0|2
182|146|68|337|0|2
182|146|68|337|0|2
182|146|68|337|0|2
182|146|68|337|0|2
195|152|55|338|24|1
206|156|44|338|29|1
213|160|38|344|31|1
215|161|36|345|32|1
215|161|36|353|24|1
217|161|34|348|30|1
214|161|37|351|25|1
216|161|35|353|24|1
214|162|37|351|27|1
214|162|37|352|26|1
215|161|36|0|0|1
220|161|31|355|25|2
217|162|35|348|31|1
217|162|35|348|31|1
219|163|33|353|29|1
219|162|33|0|21|1
220|163|32|0|23|1
220|163|32|0|23|1
219|163|33|357|25|1
219|161|32|356|23|1
219|162|33|0|21|2
219|162|33|2|0|1
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
219|162|33|2|0|2
222|161|30|353|28|1
223|163|29|2|23|1
222|163|30|3|21|1
222|164|31|5|21|1
222|163|30|5|0|1
224|163|29|2|24|2
224|163|29|2|24|1
224|163|29|8|0|1
224|163|29|2|24|2
224|163|29|2|24|1
223|163|29|4|21|1
224|163|29|7|0|1
226|163|27|8|0|2
227|163|26|6|23|1
227|162|25|14|0|1
228|163|25|8|22|2
228|163|25|8|22|1
228|162|25|8|0|1
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
228|162|25|12|0|2
232|162|21|19|0|2
232|162|21|18|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
233|160|19|14|0|2
239|158|13|13|23|2
239|158|13|13|23|1
245|157|8|15|39|1
247|157|7|18|48|2
245|157|8|8|46|3
246|157|8|19|41|3
248|156|6|17|54|3
245|156|7|10|40|3
245|156|7|10|40|3
245|156|7|10|40|3
247|155|5|8|51|3
246|154|5|3|42|3
246|154|5|3|42|3
245|155|7|0|45|3
246|154|5|356|49|3
247|154|5|348|65|3
247|155|5|352|67|3
247|154|5|348|65|3
247|154|5|348|65|3
247|154|5|348|65|3
248|153|3|331|85|3
247|153|4|333|72|3
248|154|4|329|94|3
248|154|4|329|94|3
249|152|2|333|90|3
249|152|2|333|90|3
248|152|2|327|78|3
250|152|2|315|135|3
248|151|2|329|57|3
249|152|2|312|111|3
248|152|2|312|93|3
248|152|2|312|93|3
248|151|2|307|79|3
247|152|3|302|91|3
248|151|2|300|86|3
249|152|2|293|130|3
249|151|1|290|115|3
249|151|1|287|118|3
249|151|1|287|118|3
249|151|1|287|118|3
248|151|2|280|106|3
249|148|2|280|0|3
249|149|1|273|42|3
249|149|1|273|42|4
Overall statistics|||||
Initial distance|Number of steps|Ellapsed time [seconds]|Travelled x|Travelled y|Travelled distance [pixels]
198|191|26.15572166442871|589|2270|2345.1697166729746
