goal_x|goal_y|goal_angle|robot_id||
250|100|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
51|50|205|76|-91|1
51|50|205|76|-91|1
52|51|203|83|-97|1
51|51|204|83|-97|1
51|50|205|82|-97|1
51|50|205|75|-90|1
51|50|205|75|-90|1
50|50|206|78|-93|1
52|51|203|75|-89|1
53|51|203|93|-107|1
48|51|207|55|-69|1
50|52|205|75|-89|1
52|50|204|81|-96|1
51|50|205|85|-100|1
49|52|206|70|-84|1
49|52|206|70|-84|1
49|52|206|70|-84|1
52|52|203|78|-92|1
49|50|207|48|-62|1
49|50|207|74|-88|1
50|50|206|45|-60|1
49|50|207|57|-71|1
49|48|207|56|-71|1
49|48|207|50|-65|1
48|48|208|36|-51|1
47|48|209|36|-51|1
47|48|209|36|-51|1
49|49|207|45|-60|1
48|49|208|26|-41|1
47|48|209|26|-41|1
48|49|208|22|-37|1
48|49|208|32|-47|1
48|50|208|29|-43|1
47|51|208|34|-48|1
48|47|208|4|-19|1
46|45|211|28|-44|1
47|50|209|40|-54|1
47|50|209|40|-54|1
48|50|208|29|-43|1
48|45|209|355|0|1
47|46|210|344|0|2
47|46|210|344|0|2
47|46|210|344|0|2
55|47|202|351|0|2
63|47|194|18|-34|2
63|47|194|18|-34|1
70|49|187|343|0|1
86|56|169|59|-75|2
86|56|169|59|-75|1
78|48|179|329|0|1
85|54|171|348|0|2
81|56|174|342|0|2
87|53|169|304|39|2
87|53|169|304|39|1
88|54|168|315|29|1
87|58|168|317|28|2
87|58|168|317|28|1
91|60|163|354|0|1
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
91|60|163|354|0|2
92|60|162|342|0|2
93|58|162|287|58|2
98|60|157|312|33|1
95|62|159|275|71|1
95|61|159|280|65|1
91|58|164|315|30|1
93|58|162|355|0|1
100|60|155|293|52|2
100|60|155|293|52|1
98|62|156|307|38|1
92|59|163|345|0|1
93|61|161|339|0|2
99|60|156|296|49|2
99|60|156|296|49|1
93|59|162|310|35|1
106|68|147|116|-129|1
94|65|159|331|0|1
93|59|162|336|0|2
99|60|156|288|57|1
97|53|160|330|0|1
90|61|164|329|0|2
93|60|162|315|30|2
93|60|162|315|30|1
91|66|162|353|0|1
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
98|64|156|345|0|2
