goal_x|goal_y|goal_angle|robot_id||
150|50|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
50|45|100|11|-14|1
51|45|99|10|-13|1
51|45|99|10|-13|1
51|45|99|10|-13|1
50|44|100|352|0|1
50|44|100|352|0|1
54|42|96|298|57|2
54|42|96|298|57|1
54|41|96|282|72|1
58|46|92|288|69|1
60|49|90|296|63|1
59|50|91|315|45|1
58|52|92|338|23|1
59|53|91|341|20|1
61|54|89|345|17|1
62|54|88|352|10|1
63|54|87|352|10|1
65|55|85|0|0|1
65|55|85|0|0|2
66|55|84|3|0|2
70|55|80|6|0|2
78|54|72|6|0|2
91|53|59|0|0|2
102|52|48|0|0|2
109|52|41|0|0|2
119|51|31|357|4|2
119|51|31|357|4|1
126|51|24|357|5|1
130|51|20|357|5|1
133|52|17|0|0|1
134|52|16|8|0|2
135|52|15|8|0|2
138|52|12|5|0|2
141|51|9|5|0|2
145|50|5|2|0|2
145|50|5|2|0|4
