goal_x|goal_y|goal_angle|robot_id||
50|50|180|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|350|120|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|350|120|1
86|148|104|350|120|1
86|148|104|353|117|1
86|148|104|356|114|1
85|148|104|353|116|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|354|116|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|350|120|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|354|116|1
85|148|104|351|118|1
85|148|104|351|118|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|354|116|1
86|148|104|354|116|1
86|148|104|351|119|1
87|148|104|354|116|1
85|148|104|353|116|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|354|116|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|351|119|1
85|148|104|353|116|1
86|148|104|353|117|1
86|148|104|354|116|1
85|148|104|353|116|1
85|148|104|353|116|1
86|148|104|350|120|1
85|148|104|351|118|1
85|148|104|353|116|1
86|148|104|350|120|1
86|148|104|353|117|1
85|148|104|353|116|1
85|148|104|353|116|1
86|148|104|353|117|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|353|117|1
86|148|104|350|120|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|351|119|1
86|148|104|350|120|1
86|148|104|353|117|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|354|116|1
87|148|104|351|119|1
86|148|104|354|116|1
86|148|104|353|117|1
86|148|104|354|116|1
86|148|104|353|117|1
85|148|104|353|116|1
85|148|104|351|118|1
86|148|104|353|117|1
87|148|104|354|116|1
86|148|104|351|119|1
86|148|104|353|117|1
86|148|104|353|117|1
85|148|104|353|116|1
86|148|104|353|117|1
86|148|104|351|119|1
86|148|104|353|117|1
91|149|107|345|127|1
106|149|113|177|-58|1
106|150|114|170|-51|1
105|154|117|147|-30|1
106|157|120|142|-25|1
104|153|116|146|-29|1
103|154|116|145|-28|1
101|154|115|143|-27|1
103|163|124|130|0|1
103|160|122|159|-44|1
107|168|131|153|-38|1
117|184|149|162|-46|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
100|188|146|2|107|1
239|190|235|187|-44|1
225|185|221|51|91|1
231|161|212|251|-103|1
234|152|210|233|-83|1
234|147|208|235|-83|1
235|144|207|239|-86|1
237|142|208|232|-79|1
229|164|212|81|66|1
240|139|209|231|-77|1
242|140|212|228|-74|1
231|161|212|77|71|1
236|160|216|99|50|1
241|159|219|107|43|1
239|159|218|104|46|1
237|159|216|92|57|1
237|152|213|100|51|1
235|152|211|81|70|1
235|149|209|78|73|1
235|149|209|76|75|1
235|148|209|79|73|1
236|148|210|83|69|1
236|147|209|84|68|1
236|145|208|83|69|1
237|144|209|90|63|1
237|142|208|96|57|1
236|140|206|93|61|1
236|140|206|107|47|1
236|139|206|107|47|1
235|135|203|112|43|1
236|135|204|113|42|1
235|133|202|122|33|1
233|130|199|137|0|1
233|129|199|144|0|1
231|128|197|152|0|2
231|127|196|150|0|2
230|128|196|146|0|2
232|127|197|150|0|2
230|127|195|147|0|2
231|127|196|152|0|2
232|127|197|153|0|2
231|127|196|150|0|2
232|126|197|153|0|2
232|127|197|154|0|2
231|127|196|151|0|2
230|127|195|142|0|2
229|126|194|151|0|2
221|122|185|154|0|2
213|118|176|147|0|2
208|116|171|153|0|2
197|110|158|150|0|2
188|105|148|149|0|2
181|101|140|152|0|2
170|96|128|149|0|2
162|91|119|143|0|2
154|87|110|150|0|2
139|78|93|150|0|2
129|72|82|145|0|2
124|69|76|150|0|2
118|65|69|141|26|2
105|56|55|150|23|2
105|56|55|150|23|1
93|48|43|150|32|1
86|41|37|144|50|1
81|39|32|146|53|1
78|36|31|152|54|1
76|37|29|173|33|1
77|35|30|169|40|1
74|34|28|171|42|1
73|34|28|171|43|1
72|34|27|180|36|1
70|33|26|185|35|1
70|34|25|185|33|1
68|34|24|188|33|1
66|34|22|196|29|1
64|34|21|197|31|1
62|35|19|207|24|1
62|35|19|209|22|1
61|36|17|213|0|1
59|37|15|219|0|2
58|37|15|222|0|2
56|41|10|219|0|2
54|43|8|220|0|2
52|44|6|220|31|2
50|47|3|219|51|3
50|48|2|209|61|3
50|49|1|216|54|3
50|49|1|210|60|3
51|49|1|199|26|3
51|49|1|199|26|4
