goal_x|goal_y|goal_angle|robot_id||
50|50|1800|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
208|54|158|357|-179|1
208|54|158|354|-176|1
208|54|158|0|178|1
208|54|158|0|178|1
208|53|158|351|-173|1
209|53|159|340|-162|1
210|55|160|354|-176|1
210|54|160|342|-164|1
210|53|160|342|-164|1
211|53|161|326|-148|1
212|52|162|317|-138|1
214|53|164|302|-124|1
213|52|163|293|-114|1
213|51|163|278|-99|1
214|50|164|272|-92|1
214|50|164|270|-90|1
215|50|165|264|-84|1
214|49|164|255|-75|1
215|51|165|243|-64|1
216|53|166|222|-44|1
213|51|163|222|-43|1
216|52|166|207|-28|1
217|53|167|188|0|1
