goal_x|goal_y|goal_angle|robot_id||
100|50|0|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
51|108|75|104|-55|1
51|108|75|104|-55|1
52|108|75|106|-56|1
50|107|75|96|-48|1
51|108|75|96|-47|1
49|108|77|70|-22|1
49|109|77|63|0|1
53|107|73|90|-40|2
53|107|73|90|-40|1
46|107|78|26|0|1
52|103|71|7|40|2
52|103|71|7|40|1
54|102|69|0|48|1
61|102|65|0|53|1
64|102|63|6|49|1
67|103|62|12|46|1
69|102|60|12|47|1
69|101|59|10|48|1
70|102|60|20|40|1
72|101|58|26|35|1
76|101|56|39|25|1
76|100|55|34|30|1
79|100|54|48|0|1
81|97|50|56|0|2
81|96|49|59|0|2
85|92|44|68|0|2
86|89|41|60|0|2
88|87|38|64|0|2
90|82|33|55|0|2
93|77|27|55|0|2
96|74|24|60|0|2
98|70|20|63|21|1
101|67|17|63|30|1
104|63|13|64|43|1
105|61|12|63|51|1
106|59|10|70|53|1
106|59|10|71|52|1
106|59|10|71|52|1
106|58|10|73|53|1
107|58|10|70|61|1
107|57|9|72|63|1
106|57|9|75|55|2
106|57|9|75|55|1
107|54|8|86|64|2
107|54|8|86|64|1
108|51|8|75|97|2
109|50|9|81|99|3
109|51|9|78|95|3
108|51|8|75|97|3
110|51|10|80|94|3
108|50|8|64|116|3
111|50|11|86|94|3
109|50|9|67|113|3
109|50|9|64|116|3
108|50|8|59|121|3
108|50|8|53|127|3
107|50|7|54|126|3
108|50|8|52|128|3
109|50|9|45|135|3
108|49|8|40|147|3
107|49|7|37|151|3
109|50|9|42|138|3
108|48|8|36|158|3
107|49|7|30|158|3
107|48|7|25|170|3
107|48|7|19|176|3
107|48|7|19|176|4
Overall statistics|||||
Initial distance|Number of steps|Ellapsed time|Travelled distance||
75|65|7.499827146530151|7179.083298026288||
